estado,cuenca,subcuenca,estacion,paso
new,BAYGO,SDBAYGO,CPALMA,PTOROS
new,BAYGO,SDBAYGO,CREYLES,PTOROS
new,BAYGO,SDBAYGO,EITACURU,PTOROS
new,BAYGO,SDBAYGO,ELCANADA,PTOROS
new,BAYGO,SDBAYGO,ELIBERIA,PTOROS
new,BAYGO,SDBAYGO,EMBONETE,PTOROS
new,BAYGO,SDBAYGO,EMPTOROS,PTOROS
new,BAYGO,SDBAYGO,EOLAZO,PTOROS
new,BAYGO,SDBAYGO,EROLON,PTOROS
new,BAYGO,SDBAYGO,ESREAL,PTOROS
new,BAYGO,SDBAYGO,FRANCIA,PTOROS
new,BAYGO,SDBAYGO,SALSI,PTOROS
new,BAYGO,SDBAYGO,SARNAVA,PTOROS
new,BAYGO,SDBAYGO,UBAYGO,PTOROS
new,BAYGO,SSALSI,EITACURU,SALSIR20
new,BAYGO,SSALSI,EMQUADRO,SALSIR20
new,BAYGO,SSALSI,FRANCIA,SALSIR20
new,BAYGO,SSALSI,PERALTA,SALSIR20
new,BAYGO,SSALSI,PSOLA,SALSIR20
new,BAYGO,SSALSI,SALSI,SALSIR20
new,BAYGO,SSALSI,SARBOL,SALSIR20
new,BAYGO,SSALSI,TIATUC,SALSIR20
new,BRNEGRO,SDERURUG,CANITAS,DOLORES
new,BRNEGRO,SDERURUG,CANITAS,VSORIA
new,BRNEGRO,SDERURUG,EJIDO,DOLORES
new,BRNEGRO,SDERURUG,EJIDO,VSORIA
new,BRNEGRO,SDERURUG,EMMERCE,DOLORES
new,BRNEGRO,SDERURUG,EMMERCE,VSORIA
new,BRNEGRO,SDERURUG,VSORIA,DOLORES
new,BRNEGRO,SDERURUG,VSORIA,VSORIA
new,BRNEGRO,SMERCE,ACORTO,MERCE
new,BRNEGRO,SMERCE,EGANA,MERCE
new,BRNEGRO,SMERCE,EJIDO,MERCE
new,BRNEGRO,SMERCE,EMMERCE,MERCE
new,BRNEGRO,SMERCE,EMYOUNG,MERCE
new,BRNEGRO,SMERCE,LLAGUNA,MERCE
new,BRNEGRO,SMERCE,PALMITAS,MERCE
new,BRNEGRO,SMERCE,RCOLOLO,MERCE
new,BRNEGRO,SMERCE,SANGRAN,MERCE
new,BRNEGRO,SMERCE,VDARWIN,MERCE
new,GTERRA,SARNEGRO,ACEGUA,AGUIAR
new,GTERRA,SARNEGRO,ACEGUA,MAZAN
new,GTERRA,SARNEGRO,ACEGUA,PEREI
new,GTERRA,SARNEGRO,ACEGUA,PPIEDRAS
new,GTERRA,SARNEGRO,BMEDINA,AGUIAR
new,GTERRA,SARNEGRO,BMEDINA,MAZAN
new,GTERRA,SARNEGRO,BMEDINA,PEREI
new,GTERRA,SARNEGRO,BMEDINA,PPIEDRAS
new,GTERRA,SARNEGRO,BVISTA,AGUIAR
new,GTERRA,SARNEGRO,BVISTA,MAZAN
new,GTERRA,SARNEGRO,BVISTA,PEREI
new,GTERRA,SARNEGRO,BVISTA,PPIEDRAS
new,GTERRA,SARNEGRO,CARANORTE,AGUIAR
new,GTERRA,SARNEGRO,CARANORTE,MAZAN
new,GTERRA,SARNEGRO,CARANORTE,PEREI
new,GTERRA,SARNEGRO,CARANORTE,PPIEDRAS
new,GTERRA,SARNEGRO,CARASUR,AGUIAR
new,GTERRA,SARNEGRO,CARASUR,MAZAN
new,GTERRA,SARNEGRO,CARASUR,PEREI
new,GTERRA,SARNEGRO,CARASUR,PPIEDRAS
new,GTERRA,SARNEGRO,CCARMEN,AGUIAR
new,GTERRA,SARNEGRO,CCARMEN,MAZAN
new,GTERRA,SARNEGRO,CCARMEN,PEREI
new,GTERRA,SARNEGRO,CCARMEN,PPIEDRAS
new,GTERRA,SARNEGRO,CCHATO,AGUIAR
new,GTERRA,SARNEGRO,CCHATO,MAZAN
new,GTERRA,SARNEGRO,CCHATO,PEREI
new,GTERRA,SARNEGRO,CCHATO,PPIEDRAS
new,GTERRA,SARNEGRO,CCUENTAS,AGUIAR
new,GTERRA,SARNEGRO,CCUENTAS,MAZAN
new,GTERRA,SARNEGRO,CCUENTAS,PEREI
new,GTERRA,SARNEGRO,CCUENTAS,PPIEDRAS
new,GTERRA,SARNEGRO,CENTUR,AGUIAR
new,GTERRA,SARNEGRO,CENTUR,MAZAN
new,GTERRA,SARNEGRO,CENTUR,PEREI
new,GTERRA,SARNEGRO,CENTUR,PPIEDRAS
new,GTERRA,SARNEGRO,CERRILLADA,AGUIAR
new,GTERRA,SARNEGRO,CERRILLADA,MAZAN
new,GTERRA,SARNEGRO,CERRILLADA,PEREI
new,GTERRA,SARNEGRO,CERRILLADA,PPIEDRAS
new,GTERRA,SARNEGRO,CFARRUCO,AGUIAR
new,GTERRA,SARNEGRO,CFARRUCO,MAZAN
new,GTERRA,SARNEGRO,CFARRUCO,PEREI
new,GTERRA,SARNEGRO,CFARRUCO,PPIEDRAS
new,GTERRA,SARNEGRO,EMMELO,AGUIAR
new,GTERRA,SARNEGRO,EMMELO,MAZAN
new,GTERRA,SARNEGRO,EMMELO,PEREI
new,GTERRA,SARNEGRO,EMMELO,PPIEDRAS
new,GTERRA,SARNEGRO,FMUERTO,AGUIAR
new,GTERRA,SARNEGRO,FMUERTO,MAZAN
new,GTERRA,SARNEGRO,FMUERTO,PEREI
new,GTERRA,SARNEGRO,FMUERTO,PPIEDRAS
new,GTERRA,SARNEGRO,HOSPITAL,AGUIAR
new,GTERRA,SARNEGRO,HOSPITAL,MAZAN
new,GTERRA,SARNEGRO,HOSPITAL,PEREI
new,GTERRA,SARNEGRO,HOSPITAL,PPIEDRAS
new,GTERRA,SARNEGRO,LAGUNAII,AGUIAR
new,GTERRA,SARNEGRO,LAGUNAII,MAZAN
new,GTERRA,SARNEGRO,LAGUNAII,PEREI
new,GTERRA,SARNEGRO,LAGUNAII,PPIEDRAS
new,GTERRA,SARNEGRO,LJUNCO,AGUIAR
new,GTERRA,SARNEGRO,LJUNCO,MAZAN
new,GTERRA,SARNEGRO,LJUNCO,PEREI
new,GTERRA,SARNEGRO,LJUNCO,PPIEDRAS
new,GTERRA,SARNEGRO,MANGRU,AGUIAR
new,GTERRA,SARNEGRO,MANGRU,MAZAN
new,GTERRA,SARNEGRO,MANGRU,PEREI
new,GTERRA,SARNEGRO,MANGRU,PPIEDRAS
new,GTERRA,SARNEGRO,NOBLIA,AGUIAR
new,GTERRA,SARNEGRO,NOBLIA,MAZAN
new,GTERRA,SARNEGRO,NOBLIA,PEREI
new,GTERRA,SARNEGRO,NOBLIA,PPIEDRAS
new,GTERRA,SARNEGRO,PAGUIAR,AGUIAR
new,GTERRA,SARNEGRO,PAGUIAR,MAZAN
new,GTERRA,SARNEGRO,PAGUIAR,PEREI
new,GTERRA,SARNEGRO,PAGUIAR,PPIEDRAS
new,GTERRA,SARNEGRO,PALLERO,AGUIAR
new,GTERRA,SARNEGRO,PALLERO,MAZAN
new,GTERRA,SARNEGRO,PALLERO,PEREI
new,GTERRA,SARNEGRO,PALLERO,PPIEDRAS
new,GTERRA,SARNEGRO,PARBOL,AGUIAR
new,GTERRA,SARNEGRO,PARBOL,MAZAN
new,GTERRA,SARNEGRO,PARBOL,PEREI
new,GTERRA,SARNEGRO,PARBOL,PPIEDRAS
new,GTERRA,SARNEGRO,PCARROS,AGUIAR
new,GTERRA,SARNEGRO,PCARROS,MAZAN
new,GTERRA,SARNEGRO,PCARROS,PEREI
new,GTERRA,SARNEGRO,PCARROS,PPIEDRAS
new,GTERRA,SARNEGRO,PLPIEDRAS,AGUIAR
new,GTERRA,SARNEGRO,PLPIEDRAS,MAZAN
new,GTERRA,SARNEGRO,PLPIEDRAS,PEREI
new,GTERRA,SARNEGRO,PLPIEDRAS,PPIEDRAS
new,GTERRA,SARNEGRO,PMAZAN,AGUIAR
new,GTERRA,SARNEGRO,PMAZAN,MAZAN
new,GTERRA,SARNEGRO,PMAZAN,PEREI
new,GTERRA,SARNEGRO,PMAZAN,PPIEDRAS
new,GTERRA,SARNEGRO,PPEREI,AGUIAR
new,GTERRA,SARNEGRO,PPEREI,MAZAN
new,GTERRA,SARNEGRO,PPEREI,PEREI
new,GTERRA,SARNEGRO,PPEREI,PPIEDRAS
new,GTERRA,SARNEGRO,PRAMIR,AGUIAR
new,GTERRA,SARNEGRO,PRAMIR,MAZAN
new,GTERRA,SARNEGRO,PRAMIR,PEREI
new,GTERRA,SARNEGRO,PRAMIR,PPIEDRAS
new,GTERRA,SARNEGRO,PYEGUAS,AGUIAR
new,GTERRA,SARNEGRO,PYEGUAS,MAZAN
new,GTERRA,SARNEGRO,PYEGUAS,PEREI
new,GTERRA,SARNEGRO,PYEGUAS,PPIEDRAS
new,GTERRA,SARNEGRO,QUEBRA,AGUIAR
new,GTERRA,SARNEGRO,QUEBRA,MAZAN
new,GTERRA,SARNEGRO,QUEBRA,PEREI
new,GTERRA,SARNEGRO,QUEBRA,PPIEDRAS
new,GTERRA,SARNEGRO,SDIEGO,AGUIAR
new,GTERRA,SARNEGRO,SDIEGO,MAZAN
new,GTERRA,SARNEGRO,SDIEGO,PEREI
new,GTERRA,SARNEGRO,SDIEGO,PPIEDRAS
new,GTERRA,SARNEGRO,TBOLICHE,AGUIAR
new,GTERRA,SARNEGRO,TBOLICHE,MAZAN
new,GTERRA,SARNEGRO,TBOLICHE,PEREI
new,GTERRA,SARNEGRO,TBOLICHE,PPIEDRAS
new,GTERRA,SARNEGRO,TISLAS,AGUIAR
