estado,cuenca,subcuenca,estacion,paso
new,BAYGO(Central Baygorria),SDBAYGO(Directa Baygorria),CPALMA(El Monumento),PTOROS(Paso de los Toros)
new,BAYGO(Central Baygorria),SDBAYGO(Directa Baygorria),CREYLES(Carlos Reyles),PTOROS(Paso de los Toros)
new,BAYGO(Central Baygorria),SDBAYGO(Directa Baygorria),EITACURU(Est. La Fé),PTOROS(Paso de los Toros)
new,BAYGO(Central Baygorria),SDBAYGO(Directa Baygorria),ELCANADA(Est. Las Cañadas),PTOROS(Paso de los Toros)
new,BAYGO(Central Baygorria),SDBAYGO(Directa Baygorria),ELIBERIA(Est. La Iberia),PTOROS(Paso de los Toros)
new,BAYGO(Central Baygorria),SDBAYGO(Directa Baygorria),EMBONETE(E.M. Bonete),PTOROS(Paso de los Toros)
new,BAYGO(Central Baygorria),SDBAYGO(Directa Baygorria),EMPTOROS(E.M. Paso de los Toros),PTOROS(Paso de los Toros)
new,BAYGO(Central Baygorria),SDBAYGO(Directa Baygorria),EOLAZO(Est. Olazo),PTOROS(Paso de los Toros)
new,BAYGO(Central Baygorria),SDBAYGO(Directa Baygorria),EROLON(Est. Rolón - Piquet),PTOROS(Paso de los Toros)
new,BAYGO(Central Baygorria),SDBAYGO(Directa Baygorria),ESREAL(Est. S. Real),PTOROS(Paso de los Toros)
new,BAYGO(Central Baygorria),SDBAYGO(Directa Baygorria),FRANCIA(Est. Francia),PTOROS(Paso de los Toros)
new,BAYGO(Central Baygorria),SDBAYGO(Directa Baygorria),SALSI(Salsipuedes),PTOROS(Paso de los Toros)
new,BAYGO(Central Baygorria),SDBAYGO(Directa Baygorria),SARNAVA(Sarandí de Navarro),PTOROS(Paso de los Toros)
new,BAYGO(Central Baygorria),SDBAYGO(Directa Baygorria),UBAYGO(UTE Baygorria),PTOROS(Paso de los Toros)
new,BAYGO(Central Baygorria),SSALSI(Salsipuedes),EITACURU(Est. La Fé),SALSIR20(Salsipuedes Ruta 20)
