cuenca_id,cuenca_name,subcuenca_id,subcuenca_name,estacion_id,estacion_name,lat,lon,type
BAYGO,Central Baygorria,SDBAYGO,Directa Baygorria,CPALMA,El Monumento,-32.750861,-56.784639,PluvConv
BAYGO,Central Baygorria,SDBAYGO,Directa Baygorria,CREYLES,Carlos Reyles,-33.061111,-56.470083,PluvConv
BAYGO,Central Baygorria,SDBAYGO,Directa Baygorria,EITACURU,Est. La Fé,-32.539333,-56.644167,PluvConv
BAYGO,Central Baygorria,SDBAYGO,Directa Baygorria,ELCANADA,Est. Las Cañadas,-32.569389,-56.630639,PluvConv
BAYGO,Central Baygorria,SDBAYGO,Directa Baygorria,ELIBERIA,Est. La Iberia,-32.872861,-56.283944,PluvConv
BAYGO,Central Baygorria,SDBAYGO,Directa Baygorria,EMBONETE,E.M. Bonete,-32.833333,-56.423333,EstAut
BAYGO,Central Baygorria,SDBAYGO,Directa Baygorria,EMPTOROS,E.M. Paso de los Toros,-32.798694,-56.528833,EstAut
BAYGO,Central Baygorria,SDBAYGO,Directa Baygorria,EOLAZO,Est. Olazo,-32.717361,-56.456528,PluvConv
BAYGO,Central Baygorria,SDBAYGO,Directa Baygorria,EROLON,Est. Rolón - Piquet,-32.675167,-56.897944,PluvConv
BAYGO,Central Baygorria,SDBAYGO,Directa Baygorria,ESREAL,Est. S. Real,-32.946556,-56.628028,PluvConv
BAYGO,Central Baygorria,SDBAYGO,Directa Baygorria,FRANCIA,Est. Francia,-32.543528,-56.624833,PluvConv
BAYGO,Central Baygorria,SDBAYGO,Directa Baygorria,SALSI,Salsipuedes,-32.647778,-56.592111,EstAut
BAYGO,Central Baygorria,SDBAYGO,Directa Baygorria,SARNAVA,Sarandí de Navarro,-32.542389,-56.861667,PluvConv
BAYGO,Central Baygorria,SDBAYGO,Directa Baygorria,UBAYGO,UTE Baygorria,-32.874333,-56.80625,EstAut
BAYGO,Central Baygorria,SSALSI,Salsipuedes,EITACURU,Est. La Fé,-32.539333,-56.644167,PluvConv
BAYGO,Central Baygorria,SSALSI,Salsipuedes,EMQUADRO,Est. M.J.Quadros,-32.372806,-56.391611,PluvConv
BAYGO,Central Baygorria,SSALSI,Salsipuedes,FRANCIA,Est. Francia,-32.543528,-56.624833,PluvConv
BAYGO,Central Baygorria,SSALSI,Salsipuedes,PERALTA,Peralta,-32.494444,-56.355056,PluvConv
BAYGO,Central Baygorria,SSALSI,Salsipuedes,PSOLA,Piedra Sola,-32.082167,-56.308139,EstAut
BAYGO,Central Baygorria,SSALSI,Salsipuedes,SALSI,Salsipuedes,-32.647778,-56.592111,EstAut
BAYGO,Central Baygorria,SSALSI,Salsipuedes,SARBOL,Salsipuedes,-32.647778,-56.592111,EstAut
BAYGO,Central Baygorria,SSALSI,Salsipuedes,TIATUC,Tiatucurá,-32.312972,-56.494556,PluvConv
BRNEGRO,Bajo Río Negro,SDERURUG,Desemb. en Río Uruguay,CANITAS,Cañitas,-33.161028,-58.237,PluvConv
BRNEGRO,Bajo Río Negro,SDERURUG,Desemb. en Río Uruguay,EJIDO,Ejido,-33.278639,-57.974167,PluvConv
BRNEGRO,Bajo Río Negro,SDERURUG,Desemb. en Río Uruguay,EMMERCE,E.M. Mercedes,-33.250417,-58.068611,EstAut
BRNEGRO,Bajo Río Negro,SDERURUG,Desemb. en Río Uruguay,VSORIA,Villa Soriano,-33.390889,-58.318111,EstAut
BRNEGRO,Bajo Río Negro,SMERCE,Mercedes,ACORTO,Arroyo Corto,-33.239917,-57.784139,PluvConv
BRNEGRO,Bajo Río Negro,SMERCE,Mercedes,EGANA,Egaña,-33.602639,-57.631583,PluvConv
BRNEGRO,Bajo Río Negro,SMERCE,Mercedes,EJIDO,Ejido,-33.278639,-57.974167,PluvConv
BRNEGRO,Bajo Río Negro,SMERCE,Mercedes,EMMERCE,E.M. Mercedes,-33.250417,-58.068611,EstAut
BRNEGRO,Bajo Río Negro,SMERCE,Mercedes,EMYOUNG,E.M. Young,-32.68625,-57.649417,PluvConv
BRNEGRO,Bajo Río Negro,SMERCE,Mercedes,LLAGUNA,La Laguna,-33.203278,-57.575639,PluvConv
BRNEGRO,Bajo Río Negro,SMERCE,Mercedes,PALMITAS,Palmitas,-33.507639,-57.798278,PluvConv
BRNEGRO,Bajo Río Negro,SMERCE,Mercedes,RCOLOLO,Rincón de Cololó,-33.063111,-57.900222,PluvConv
BRNEGRO,Bajo Río Negro,SMERCE,Mercedes,SANGRAN,Sánchez Grande,-32.833583,-57.732528,PluvConv
BRNEGRO,Bajo Río Negro,SMERCE,Mercedes,VDARWIN,Villa Darwin,-33.12175,-57.639417,PluvConv
GTERRA,Central Rincón del Bonete,SARNEGRO,Alto Río Negro,ACEGUA,Aceguá,-31.874111,-54.161,PluvConv
GTERRA,Central Rincón del Bonete,SARNEGRO,Alto Río Negro,BMEDINA,Bañado de Medina,-32.402167,-54.349556,PluvConv
GTERRA,Central Rincón del Bonete,SARNEGRO,Alto Río Negro,BVISTA,Buena Vista,-32.128667,-54.159167,PluvConv
GTERRA,Central Rincón del Bonete,SARNEGRO,Alto Río Negro,CARANORTE,Caraguatá Norte,-32.1215,-54.900528,PluvConv
GTERRA,Central Rincón del Bonete,SARNEGRO,Alto Río Negro,CARASUR,Caraguatá Sur,-32.245194,-54.992583,PluvConv
GTERRA,Central Rincón del Bonete,SARNEGRO,Alto Río Negro,CCARMEN,Cuchilla del Carmen,-32.719861,-55.0325,PluvConv
GTERRA,Central Rincón del Bonete,SARNEGRO,Alto Río Negro,CCHATO,Cerro Chato,-33.099556,-55.142222,PluvConv
GTERRA,Central Rincón del Bonete,SARNEGRO,Alto Río Negro,CCUENTAS,Cerro de la Cuentas,-32.618528,-54.593194,PluvConv
GTERRA,Central Rincón del Bonete,SARNEGRO,Alto Río Negro,CENTUR,Centurión,-32.145583,-53.787972,PluvConv
GTERRA,Central Rincón del Bonete,SARNEGRO,Alto Río Negro,CERRILLADA,Cerrillada,-31.436028,-54.722,PluvConv
GTERRA,Central Rincón del Bonete,SARNEGRO,Alto Río Negro,CFARRUCO,Capilla Farruco,-32.838778,-55.518639,PluvConv
GTERRA,Central Rincón del Bonete,SARNEGRO,Alto Río Negro,EMMELO,E.M. Melo,-32.367306,-54.192306,PluvConv
GTERRA,Central Rincón del Bonete,SARNEGRO,Alto Río Negro,FMUERTO,Fraile Muerto,-32.512056,-54.523639,PluvConv
GTERRA,Central Rincón del Bonete,SARNEGRO,Alto Río Negro,HOSPITAL,Hospital,-31.656611,-54.622444,PluvConv
GTERRA,Central Rincón del Bonete,SARNEGRO,Alto Río Negro,LAGUNAII,Laguna II,-32.344028,-55.46425,EstAut
GTERRA,Central Rincón del Bonete,SARNEGRO,Alto Río Negro,LJUNCO,Laguna del Junco,-32.72825,-54.90225,PluvConv
GTERRA,Central Rincón del Bonete,SARNEGRO,Alto Río Negro,MANGRU,Mangrullo,-32.098583,-54.048278,PluvConv
GTERRA,Central Rincón del Bonete,SARNEGRO,Alto Río Negro,NOBLIA,Pueblo Noblia,-31.955917,-54.123667,PluvConv
GTERRA,Central Rincón del Bonete,SARNEGRO,Alto Río Negro,PAGUIAR,Paso Aguiar,-32.285056,-54.841,EstAut
GTERRA,Central Rincón del Bonete,SARNEGRO,Alto Río Negro,PALLERO,Palleros,-32.078083,-54.484917,PluvConv
GTERRA,Central Rincón del Bonete,SARNEGRO,Alto Río Negro,PARBOL,Pereira,,,
GTERRA,Central Rincón del Bonete,SARNEGRO,Alto Río Negro,PCARROS,Paso de los Carros,-32.565083,-54.373361,PluvConv
GTERRA,Central Rincón del Bonete,SARNEGRO,Alto Río Negro,PLPIEDRAS,Paso Las Piedras,-32.450944,-55.446306,EstAut
GTERRA,Central Rincón del Bonete,SARNEGRO,Alto Río Negro,PMAZAN,Paso Mazangano,-32.107333,-54.674222,EstAut
GTERRA,Central Rincón del Bonete,SARNEGRO,Alto Río Negro,PPEREI,Paso Pereira,-32.443472,-55.22625,EstAut
GTERRA,Central Rincón del Bonete,SARNEGRO,Alto Río Negro,PRAMIR,Paso Ramírez,-32.537194,-55.502861,PluvConv
GTERRA,Central Rincón del Bonete,SARNEGRO,Alto Río Negro,PYEGUAS,Paso de las Yeguas,-31.913278,-54.309194,PluvConv
GTERRA,Central Rincón del Bonete,SARNEGRO,Alto Río Negro,QUEBRA,Quebracho,-32.602611,-54.721361,PluvConv
GTERRA,Central Rincón del Bonete,SARNEGRO,Alto Río Negro,SDIEGO,San Diego,-31.994139,-53.954722,PluvConv
GTERRA,Central Rincón del Bonete,SARNEGRO,Alto Río Negro,TBOLICHE,Tres Boliches,-32.281944,-54.162889,PluvConv
GTERRA,Central Rincón del Bonete,SARNEGRO,Alto Río Negro,TISLAS,Tres Islas,-32.514861,-54.688389,PluvConv
GTERRA,Central Rincón del Bonete,SARNEGRO,Alto Río Negro,VICHA,Vichadero,-31.778917,-54.6915,PluvConv
GTERRA,Central Rincón del Bonete,SDTERRA,Directa Rincón del Bonete,ACHAR,Achar,-32.404028,-56.180722,PluvConv
GTERRA,Central Rincón del Bonete,SDTERRA,Directa Rincón del Bonete,BLANQUI,Blanquillo,-32.886528,-55.620139,PluvConv
GTERRA,Central Rincón del Bonete,SDTERRA,Directa Rincón del Bonete,CARDOZO,Cardozo,-32.657889,-56.287667,PluvConv
GTERRA,Central Rincón del Bonete,SDTERRA,Directa Rincón del Bonete,CFARRUCO,Capilla Farruco,-32.838778,-55.518639,PluvConv
GTERRA,Central Rincón del Bonete,SDTERRA,Directa Rincón del Bonete,CLARA,Clara,-32.223417,-55.731333,PluvConv
GTERRA,Central Rincón del Bonete,SDTERRA,Directa Rincón del Bonete,CURTINA,Curtina,-32.145667,-56.113139,PluvConv
